"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue";Label_Rate
01/01/2025;01/01/2025;"YouTube UGC";India;"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Bolo To Tumi";"Bolo To Tumi";3617668545759;FR-10S-25-17317;RMITRC12;"Music Release";Stream;5;EUR;0.006920807286;80.00
01/01/2025;01/12/2024;"Amazon Music Streaming";India;"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Mon jarai kathai kathai";"Mon jarai kathai kathai";3617666955628;DG-A0S-24-33927;RMITRC08;"Music Release";Stream;5;EUR;0.002208155100;80.00
01/01/2025;01/01/2025;"YouTube UGC";"United States";"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;3;EUR;0.003780522416;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Italy;"RoyalMotion IT";"Ranjan Chowdhury, Moumita Barua";"E kemon Valobasa Bujhina";"E kemon Valobasa Bujhina";3617668545742;FR-10S-25-17316;RMITRC10;"Music Release";Stream;1;EUR;0.000271699483;80.00
01/01/2025;01/12/2024;Yandex;Kazakhstan;"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;1;EUR;0.000180054654;80.00
01/01/2025;01/01/2025;"YouTube Official Content";"Saudi Arabia";"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Bolo To Tumi";"Bolo To Tumi";3617668545759;FR-10S-25-17317;RMITRC12;"Music Release";Stream;1;EUR;0.000039768660;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Bangladesh;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;310;EUR;0.004199220160;80.00
01/01/2025;01/01/2025;"YouTube Official Content";India;"RoyalMotion IT";"Ranjan Chowdhury, Moumita Barua";"E kemon Valobasa Bujhina";"E kemon Valobasa Bujhina";3617668545742;FR-10S-25-17316;RMITRC10;"Music Release";Stream;125;EUR;0.006127016959;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"Sri Lanka";"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;1;EUR;0.000013511552;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Kuwait;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;2;EUR;0.000027023104;80.00
01/01/2025;01/12/2024;Yandex;"Russian Federation";"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;22;EUR;0.003961202407;80.00
01/01/2025;01/01/2025;"YouTube UGC";Qatar;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;3;EUR;0.000907482939;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Bangladesh;"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Bolo To Tumi";"Bolo To Tumi";3617668545759;FR-10S-25-17317;RMITRC12;"Music Release";Stream;23;EUR;0.001244281823;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Malaysia;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;18;EUR;0.000243207936;80.00
