"Reporting Month;""Sales Month"";Platform;Country/Region;""Label Name"";""Artist Name"";""Release title"";""Track title"";UPC;ISRC;""Release Catalog nb"";""Release Type"";""Sales Type"";Quantity;""Client Payment Currency"";""Net Revenue"";Label_Rate",
"01/11/2025;01/11/2025;""YouTube Official Content"";Kuwait;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;3;EUR;0.001040275798;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Prothom Dekha"";""Prothom Dekha"";7316470718929;HK-K97-22-20677;RMITACP02;""Music Release"";Creation;6;EUR;0.000251825603;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Italy;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;10;EUR;0.017141950151;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";India;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;13;EUR;0.002891940034;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Max Mazed"";Prithibi;INTRO;3618023107919;QZ-RP5-25-86525;RMITMAX01;""Music Release"";Stream;1;EUR;0.000129192957;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Bangladesh;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1501;EUR;0.168059676704;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United States"";""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Bolo To Tumi"";""Bolo To Tumi"";3617668545759;FR-10S-25-17317;RMITRC12;""Music Release"";Stream;1;EUR;0.000079964424;90.00"
"01/11/2025;01/11/2025;""YouTube Official Content"";""South Africa"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;3;EUR;0.001090285975;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";""Ei Shob"";""Ei Shob"";3618023426096;QZ-NWU-22-02702;RMITAHS016;""Music Release"";Stream;3;EUR;0.035782751532;90.00",
"01/11/2025;01/10/2025;""Amazon Music Streaming"";India;""RoyalMotion IT"";""Ranjan Chowdhury"," Subhamita Banerjee"";""Mon jarai kathai kathai"";""Mon jarai kathai kathai"";3617666955628;DG-A0S-24-33927;RMITRC08;""Music Release"";Stream;2;EUR;0.000859515566;90.00"
